planned performance;geplante Leistung, Leistungsvorgabe
cost per dozen;Preis je Dutzend
consistency;Stetigkeit, Folgerichtigkeit, Gleichheit
amount of bill;Wechselbetrag
test day;Stichtag, Gebührenverzeichnis
fixed date;Termin
discharge a debt;eine Schuld ablösen
absence from duty;Dienstabwesenheit
use his own means of transport;seine eigenen Traansportmittel benutzen
necessary labour;notwendige Arbeit
land and buildings;Grundstücke und Gebäude
hourly earnings;Stundenverdienst
dealer's brand;Händlermarke
lawful money;gesetzliches Zahlungsmittel (US)
emergency reserve;Reserve für den Notfall
margin of unused resources;Spanne ungenutzter Ressourcen
fact;Tatsache
the acts of the consignor;die Handlungen des Absender
organization;Organisation, Organisierung
in connection with any action;im Zusammenhang mit irgendeiner Maßnahme
selective;auswählend, selektiv
chair cushion;Sitzkissen
payment instructions;Anweisungen betreffend die Zahlung
safety instructions;Sicherheitsanweisungen
stoppage of work;Arbeitseinstellung, Arbeitsunterbrechung
raise the limit;die Grenze erhöhen
total gain;Gesamtgewinn
subject to seasonal influences;saisonbedingt
headman;Aufseher
change in taste;Geschmackswandel
backward;rückständig
internal auditor;Innenrevisor
poor means;geringe Mittel
excess weight;Übergewicht
lock up;verschließen
drawn by the beneficiary;vom Begünstigten gezogen
box car;geschlossener Güterwaggen (US)
to do everything in its power;alles in seiner Macht zu tun
completion;Vervollständigung
long run;lange Zeit, lange Sicht
price climate;Preisklima
express delivery;Eilzustellung
profit-sharing;Gewinnbeteiligung
to check imports;Warenimporte bremsen
he declined to answer questions;er weigerte sich auszusagen
bearer cheque;Inhaberscheck, Überbringerscheck
least-squares method;Methode der kleinsten Quadrate
hallmark;Feingehaltsstempel, Silberstempel
sell at a low price;zu niedrigem Preis verkaufen
the price invoiced;der in Rechnung gestellte Preis
poster;Plakat
excess consumption;Mehrverbrauch
service;Dienst
dull;lustlos
mailing carton;Versandschachtel
physical ability;körperliche Fähigkeit
cash journal;Kassenbuch
test area;Testgebiet
increase;Erhöhung, Zunahme, zunehmen
monopolist;Monopolist
bait;Lockmittel
mutual consent;Übereinkommen
in the lower grade of the civil service;im einfachen Dienst
probability calculation, probability calculus;Wahrscheinlichkeitsrechnung
order number;Auftragsnummer, Bestellnummer
fair comment;sachliche Kritik
outstanding debts;ausstehende Forderungen
loss of income;Verlust des Einkommens
the schedule for the expenses;die Kostentabelle
subject to a month's notice;bei monatlicher Kündigung
spread;ausbreiten
current account customer;Kontokorrentkunde
switch over to;umschalten
introduction of shares;Einführung von Aktien an der Börse
hoarding purchases;Hortungskäufe
postage;Porto
should clearly indicate;sollen eindeutig angeben
light industry;Leichtindustrie
farmer;Farmer, Bauer
redraft a bill of exchange;einen Wechsel nochmals ziehen
sponsored broadcast;gesponserte Sendung, geförderte Sendung
the point so chosen;der sog gewählte Ort
termination;Beendigung, Kündigung
regulations of the public carrier;Bestimmungen des Frachtführers
for putting them at the disposal;für die Zurverfügungstellung
the clauses which may be accepted;die Klauseln, die angenommen werden dürfen
named port of shipment;benannter Verschiffungshafen
exit;Ausgang
railway advice;Benachrichtigung
plead;plädieren
computation;Berechnung, Errechnung
production facilities;Ausstattung mit Betriebsmitteln, Produktionsmöglichkeiten, Betriebsmittel
to act in good faith;nach Treu und Glauben handeln
to take a course;einen Kurs nehmen
random sampling;Stichprobe
night shift;Nachtschicht
selective advertising;gezielte Werbung
takings;Einnahmen
marine bill of lading;Seekonnossement
diplomatic;diplomatisch
particularly;insbesondere
confirmation of signature;Unterschriftsbeglaubigung
shall have failed to arrive;nicht eintrifft
process chart;Arbeitsablaufdiagramm, Fertigungsdiagramm, Flussdiagramm
attend a meeting;an einer Konferenz teilnehmen
greengrocer;Gemüsehändler
rise in the bank rate;Diskonterhöhung (Br.)
payment of arrears;Zahlung der Rückstände
convertible bond;Wandelanleihe, Wandelobligation, Wandelschuldverschreibung
of the type;in der Bauart
interpretation of technical terms;Auslegung von technischen Ausdrücken
odd broker;Makler in kleinen Mengen
internal affairs;innere Angelegenheiten
machine tool;Werkzeugmaschine
insert an advertisement;inserieren
according to instructions;den Weisungen nach, weisungsgemäß
date of redemption, date of repayment;Rückzahlungstermin
photo lettering;Lichtsatz
hidden offer;verstecktes Angebot
damage to persons;Personenschaden
where applicable;gegebenenfalls, wo zutreffend
for the goods to be discharged;dass die Ware entladen wird
advertising psychology;Werbepsychologie
unsalable;unverkäuflich
overestimate;überschätzen, überwewerten
sales journal;Warenausgangsbuch
amount of investment;Investitionsbetrag
main;hauptsächlich
in English currency;in englischer Währung
social services;soziale Dienste
flags of convenience;Gefälligkeitsflaggen
extension of validity;Verlängerung der Gültigkeit
access;Zugang
contrary to instructions;weisungswidrig
professional training;Berufsausbildung
temporary provisions;Übergangsbestimmungen
loss;Verlust
motive to buy;Kaufmotiv
ladies' supplement;Frauenbeilage
works order;Arbeitsauftrag, Werkauftrag
which shall be paid;die gezahlt werden müssen
overstatement;Übertreibung
owner of a factory;Inhaber einer Fabrik, Eigentümer einer Fabrik
Universal Postal Union;Weltpostverband
end of fair;Messeende
above capacity employment;Überbeschäftigung
consultation;Beratung
limited partner;Teilhaber mit beschränkter Haftung
to sell by public sale;mittels Auktion verkaufen, versteigern
turnover tax;Umsatzsteuer
import broker;Importmakler
open items;offenstehende Beträge
interest on debit balances;Sollzinsen
satisfy claims;Ansprüche befriedigen
embossed printing;Prägedruck
employment of modern technology;Einsatz der modernen Technologie
formal requirements;Formvorschriften, Förmlichkeiten
originator;Begründer
pilot study;Leitstudie
application of a theory;Anwendung einer Theorie
after careful consideration;nach sorgfältiger Überprüfung
life office;Lebensversicherungsanstalt
transport vehicle;Transportfahrzeug
weekly turnover;Wochenumsatz
shipping instructions;Versandanweisungen
carriage of passengers;Beförderung von Personen
leasehold;Pachtgrundstück, Erbpachtgrundstück
imposed by foreign usages;beruhend auf ausländischem Handelsbrauch
minimum time;Mindestzeit, Bestzeit
amortize;amortisieren, tilgen
licensee;Empfänger einer Lizenz, Lizenznehmer
fir for use;betriebsfähig
insufficiency;Mangel
right of reproduction;Abdrucksrecht, Copyright
idle capital;totes Kapital
right of using a thing;Recht ein Ding zu benutzen
the fact that;den Umstand dass
deceased;verstorben
empirical study;empirische Untersuchung
public safety;öffentliche Sicherheit
laboratory test;Labortest
volume of stocks;Bestandsvolumen, Umfang der Bestände, Umfang der Warenvorräte
additional business;Zusatzgeschäft
to use these rules;diese Regeln anwenden
increase of capital;Erhöhung des Kapitals
any bank;irgendeine Bank
by means of a separate document;mittels eines besonderen Dokuments
fitter;Mechaniker
on the very spot;an derselben Stelle
neglect of business;Vernachlässigung der geschäftlichen Pflichten
yield a profit;Gewinn abwerfen
final amount;Endbetrag
register a mortgage;eine Hypothek eintragen
authoritative precedent;verbindlicher Präzedenzfall
be at stake;auf dem Spiel stehen
sell at best;bestens verkaufen
recognized;erkannt, wieder erkannt, anerkannt
vice president;Vizepräsident
economy class;zweite Klasse im Luftverkehr
abandonment of action;Klagerücknahme
hereinafter;nachstehend
manufacturing company;Fabrikationsbetrieb, Produktionsgesellschaft
harden;härten, verhärten, versteifen
foreign currency account;Konto in ausländischer Währung
shall take reasonable care to check;soll mit angemessener Sorgfalt prüfen
stipulation;vertragliche Vereinbarung, KLausel
financial control;Finanzkontrolle
joint rate;Sammeltarif
self-service;Selbstbedienung
export division;Exportabteilung
assistance;Hilfe
apartment building;Wohnblock
frequency of interruption;Häufigkeit der Unterbrechung
itinerary;Reiseplan
which he shall have to fulfil;die er erfüllen muss, welche erforderlich sind
zonal;zonal, auf die Zone bezogen, zonenartig
anti-trust laws;Antikartellgesetze
halt;halten, stoppen, Halteplatz
job costing;Kostenberechnung für einen Auftrag, Kostenrechnung für einen Auftrag
when the goods have been placed;wenn die Waren verbracht worden sind
electronic brain;Elektronengehirn
labour grade;Tätigkeitseinstufung
machine number;Maschinennummer
compare;vergleichen
in fact;tatsächlich
life assurance company;Lebensversicherungsgesellschaft
specialize in;sich spezialisieren auf
fix a dividend;eine Dividende festlegen
by endorsement or otherwise;durch Indossament oder auf anderem Wege
average weekly wages;Durchschnittswochenlohn
plastic material;Plastik, PLastikmaterial
research effort;Forschungsaufwand
earned surplus account;Konto für Reserven aus Reingewinn
continuous budgeting;laufende Finanzplanung
to lie idle;brach liegen
in the country of acceptance;im Land der Akzeptierung
bring in an accusation;eine Anklage einbringen
to take out any additional insurance;Zusatzversicherungen abschließen
fishy;zweifelhaft
check time;Kontrollzeit
credit bank;Kreditbank
gain a fortune;ein Vermögen erwerben
fair hostess;Messebetreuerin
median;Mittel
total loss only;nur gegen Totalverlust
railway disaster;Eisenbahnunglück
prepaid;vorausbezahlt
uniform customs;einheitliche Richtlinien
credit department;Kreditabteilung
oligopoly;Oligopol
consular invoice;Konsulatsfaktura
activity;Aktivität, Tätigkeit, Arbeit, Handlung
identity card;Personalausweis
man of straw;Stohmann
intermediary result;Zwischenergebnis
calculation of losses;Verlustquellenberechnung
invisibles;unsichtbare Handelsgüter oder Posten
team;Arbeitsgruppe, Team
to reimburse for any payment;für jede Zahlung remboursieren
amicable agreement;Vergleich in Güte, gütlicher Vergleich
econometrics;Ökonometrie
admission of shares;Zulassung von Aktien
advisory council;Beirat
claim for refund;Anspruch auf Erstattung
bear all charges of the goods;alle Kosten der Ware tragen
to hand over documents;Dokumente übergeben
additional allowance;zusätzlicher Zuschuss
entrepot;Niederlage, Warenlager, Auslieferungslager
official catalogue;amtlicher Katalog
to deliver documents;Dokumente aushändigen
equal pay;gleiche Entlohnung
reduction for children;Kinderermäßigung
expiry;Ablauf, Verfall
personnel office;Personalbüro, Personalabteilung
finished goods store;Fertigwarenlager
recoupment;Schadloshaltung
boardroom;Sitzungszimmer des Aufsichtsrats
transport equipment;Transporteinrichtung
industrial selling;Verkauf ab Werk, Werksverkauf
wage adjustment;Lohnangleichung
to reprimand sb.;jemanden rügen
preliminary report;vorläufiger Bericht
discretionary buying power;verfügbare Kaufkraft
loan for consumption;Konsumentenkredit
against all obligations;gegen alle Verpflichtungen
subdivision;Unterabteilung
to abandon the cargo;die Fracht abtreten, abandonieren
joint supply;gekoppeltes Angebot
footnote;Fußnote
absorb;absorbieren
mortgage creditor;Hypothekengläubiger
furnished with;versehen mit
charter party;Chartervertrag
primarily;in erster Linie
personnel division;Personalabteilung
free of charge;gebührenfrei
abandonment of a project;Aufgabe eines Projekts
rank below;im Rang niedriger sein
packed for rail transport;verpackt für Eisenbahntransport
payment in kind;Naturalleistung, Sachleistung, Naturallohn, Zahlung in Naturalien
after having examined the file;nach Prüfung der Akte
illicit;unerlaubt, gesetzwidrig
town population;Stadtbevölkerung
to hold an office;ein Amt innehaben
nominal partner;nur nomineller Teilhaber
principle;Prinzip, Richtlinie
automatize;automatisieren
cable rate;Kabelkurs
contract of brokerage;Maklervertrag
in principle;im Prinzip, grundsätzlich
billboard;(US) Anschlagtafel
job cost sheet;Auftragskostensammelblatt
previuous month;voriger Monat, Vormonat
legal incapacity;Geschäftsunfähigkeit
proof of loss;Nachweis des Verlustes
credit interest;Habenzinsen
levelling;nivellieren
increase in value;Werterhöhung, Wertzunahme
bank rate;Diskontsatz, Diskontsatz der Bank von England
industrial population;in der Industrie besachäftigte Bevölkerung
insider;Insider, Mitglied der Börse (US)
package tour;Pauschalreise
pay;bezahlen, zahlen, Bezahlung, Lohn
average;Durchschnitt
free trade area;Freihandelszone
marine underwriter;Seeversicherungsgesellschaft
clearing centre;Verrechnungsstelle
provide the import licence;die Einfuhrerlaubnis beschaffen
become obsolete;veraltern, unmodern werden
payment as you feel inclined;Zahlung nach Belieben
